season,match_day,date,home_team,away_team,result
2022-2023,31,"Friday 5 May
21:30 GMT+3",1. FSV Mainz 05,FC Schalke 04,2-3
2022-2023,32,"Friday 12 May
21:30 GMT+3",1. FC Köln,Hertha BSC,5-2
2022-2023,33,"Friday 19 May
21:30 GMT+3",Sport-Club Freiburg,VfL Wolfsburg,2-0
2022-2023,34,"Saturday 27 May
16:30 GMT+3",VfB Stuttgart,TSG Hoffenheim,1-1
2023-2024,1,"Friday 18 August
21:30 GMT+3",SV Werder Bremen,FC Bayern München,0-4
2023-2024,2,"Friday 25 August
21:30 GMT+3",RB Leipzig,VfB Stuttgart,5-1
2023-2024,3,"Friday 1 September
21:30 GMT+3",Borussia Dortmund,1. FC Heidenheim 1846,2-2
2023-2024,4,"Friday 15 September
21:30 GMT+3",FC Bayern München,Bayer 04 Leverkusen,2-2
2023-2024,5,"Friday 22 September
21:30 GMT+3",VfB Stuttgart,SV Darmstadt 98,3-1
2023-2024,6,"Friday 29 September
21:30 GMT+3",TSG Hoffenheim,Borussia Dortmund,1-3
2023-2024,7,"Friday 6 October
21:30 GMT+3",Borussia Mönchengladbach,1. FSV Mainz 05,2-2
2023-2024,8,"Friday 20 October
21:30 GMT+3",Borussia Dortmund,SV Werder Bremen,1-0
2023-2024,9,"Friday 27 October
21:30 GMT+3",VfL Bochum 1848,1. FSV Mainz 05,2-2
2023-2024,10,"Friday 3 November
22:30 GMT+3",SV Darmstadt 98,VfL Bochum 1848,1-2
2023-2024,11,"Friday 10 November
22:30 GMT+3",Borussia Mönchengladbach,VfL Wolfsburg,4-0
2023-2024,12,"Friday 24 November
22:30 GMT+3",1. FC Köln,FC Bayern München,0-1
2023-2024,13,"Friday 1 December
22:30 GMT+3",SV Darmstadt 98,1. FC Köln,0-1
2023-2024,14,"Friday 8 December
22:30 GMT+3",TSG Hoffenheim,VfL Bochum 1848,3-1
2023-2024,15,"Friday 15 December
22:30 GMT+3",Borussia Mönchengladbach,SV Werder Bremen,2-2
2023-2024,16,"Tuesday 19 December
20:30 GMT+3",SV Werder Bremen,RB Leipzig,1-1
2023-2024,17,"Friday 12 January
22:30 GMT+3",FC Bayern München,TSG Hoffenheim,3-0
2023-2024,18,"Saturday 20 January
17:30 GMT+3",SV Darmstadt 98,Eintracht Frankfurt,2-2
2023-2024,19,"Friday 26 January
22:30 GMT+3",Eintracht Frankfurt,1. FSV Mainz 05,1-0
2023-2024,20,"Friday 2 February
22:30 GMT+3",1. FC Heidenheim 1846,Borussia Dortmund,0-0
2023-2024,21,"Friday 9 February
22:30 GMT+3",Borussia Dortmund,SC Freiburg,3-0
2023-2024,22,"Friday 16 February
22:30 GMT+3",1. FC Köln,SV Werder Bremen,0-1
2023-2024,23,"Friday 23 February
22:30 GMT+3",Bayer 04 Leverkusen,1. FSV Mainz 05,2-1
2023-2024,24,"Friday 1 March
22:30 GMT+3",SC Freiburg,FC Bayern München,2-2
2023-2024,25,"Friday 8 March
22:30 GMT+3",VfB Stuttgart,1. FC Union Berlin,2-0
2023-2024,26,"Friday 15 March
22:30 GMT+3",1. FC Köln,RB Leipzig,1-5
2023-2024,27,"Saturday 30 March
17:30 GMT+3",SV Werder Bremen,VfL Wolfsburg,0-2
2023-2024,28,"Friday 5 April
21:30 GMT+3",Eintracht Frankfurt,SV Werder Bremen,1-1
2023-2024,29,"Friday 12 April
21:30 GMT+3",FC Augsburg,1. FC Union Berlin,2-0
2023-2024,30,"Friday 19 April
21:30 GMT+3",Eintracht Frankfurt,FC Augsburg,3-1
2023-2024,31,"Friday 26 April
21:30 GMT+3",VfL Bochum 1848,TSG Hoffenheim,3-2
2023-2024,32,"Friday 3 May
21:30 GMT+3",TSG Hoffenheim,RB Leipzig,1-1
2023-2024,33,"Friday 10 May
21:30 GMT+3",FC Augsburg,VfB Stuttgart,0-1
2023-2024,34,"Saturday 18 May
16:30 GMT+3",1. FC Heidenheim 1846,1. FC Köln,4-1
2024-2025,1,"Friday 23 August
21:30 GMT+3",Borussia Mönchengladbach,Bayer 04 Leverkusen,2-3
2024-2025,2,"Friday 30 August
21:30 GMT+3",1. FC Union Berlin,FC St. Pauli,1-0
2024-2025,3,"Friday 13 September
21:30 GMT+3",Borussia Dortmund,1. FC Heidenheim 1846,4-2
2024-2025,4,"Friday 20 September
21:30 GMT+3",FC Augsburg,1. FSV Mainz 05,2-3
2024-2025,5,"Friday 27 September
21:30 GMT+3",Borussia Dortmund,VfL Bochum 1848,4-2
2024-2025,6,"Friday 4 October
21:30 GMT+3",FC Augsburg,Borussia Mönchengladbach,2-1
2024-2025,7,"Friday 18 October
21:30 GMT+3",Borussia Dortmund,FC St. Pauli,2-1
2024-2025,8,"Friday 25 October
21:30 GMT+3",1. FSV Mainz 05,Borussia Mönchengladbach,1-1
2024-2025,9,"Friday 1 November
22:30 GMT+3",Bayer 04 Leverkusen,VfB Stuttgart,0-0
2024-2025,10,"Friday 8 November
22:30 GMT+3",1. FC Union Berlin,SC Freiburg,0-0
